			Position	Word Onset			Word Medial			Word Final		
bigram	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
zu	151	976	6.883463	55	333	5.808142	95	642	6.464588	1	1	0
yc	3	3	1.098612	0	0	0	3	3	1.098612	0	0	0
yl	7	27	3.295837	0	0	0	5	23	3.135494	2	4	1.386294
ys	4	7	1.94591	0	0	0	3	5	1.609438	1	2	0.693147
gd	3	14	2.639057	0	0	0	3	14	2.639057	0	0	0
hd	1	48	3.871201	0	0	0	1	48	3.871201	0	0	0
lk	9	27	3.295837	0	0	0	9	27	3.295837	0	0	0
gk	1	4	1.386294	0	0	0	1	4	1.386294	0	0	0
ok	29	206	5.327876	6	39	3.663562	20	159	5.068904	3	8	2.079442
sh	30	241	5.484797	9	68	4.219508	15	34	3.526361	6	139	4.934474
'b	3	6	1.791759	0	0	0	3	6	1.791759	0	0	0
lr	6	8	2.079442	0	0	0	6	8	2.079442	0	0	0
ek	19	47	3.850148	1	1	0	15	38	3.637586	3	8	2.079442
'r	19	46	3.828641	0	0	0	18	45	3.806662	1	1	0
ry	16	67	4.204693	0	0	0	3	7	1.94591	13	60	4.094345
ts	14	45	3.806662	0	0	0	13	43	3.7612	1	2	0.693147
kl	6	27	3.295837	0	0	0	6	27	3.295837	0	0	0
sl	173	967	6.874198	81	305	5.720312	92	662	6.495266	0	0	0
tn	38	164	5.099866	0	0	0	38	164	5.099866	0	0	0
oh	4	68	4.219508	1	2	0.693147	1	59	4.077537	2	7	1.94591
'v	2	4	1.386294	0	0	0	2	4	1.386294	0	0	0
sw	1	1	0	0	0	0	1	1	0	0	0	0
wa	14	70	4.248495	4	9	2.197225	9	60	4.094345	1	1	0
dy	7	77	4.343805	0	0	0	2	2	0.693147	5	75	4.317488
hm	6	53	3.970292	0	0	0	5	37	3.610918	1	16	2.772589
nx	2	10	2.302585	0	0	0	0	0	0	2	10	2.302585
kn	3	27	3.295837	2	26	3.258097	1	1	0	0	0	0
bk	1	9	2.197225	0	0	0	1	9	2.197225	0	0	0
dh	8	67	4.204693	0	0	0	8	67	4.204693	0	0	0
yp	2	3	1.098612	0	0	0	2	3	1.098612	0	0	0
ey	12	106	4.663439	0	0	0	3	19	2.944439	9	87	4.465908
dm	5	16	2.772589	0	0	0	5	16	2.772589	0	0	0
oj	7	12	2.484907	0	0	0	7	12	2.484907	0	0	0
pd	5	12	2.484907	0	0	0	5	12	2.484907	0	0	0
rh	6	29	3.367296	2	23	3.135494	4	6	1.791759	0	0	0
rx	13	61	4.110874	0	0	0	11	35	3.555348	2	26	3.258097
c'	21	4708	8.457018	19	4704	8.456168	1	2	0.693147	1	2	0.693147
'h	2	5	1.609438	0	0	0	2	5	1.609438	0	0	0
ow	3	5	1.609438	0	0	0	3	5	1.609438	0	0	0
nl	16	118	4.770685	0	0	0	16	118	4.770685	0	0	0
uk	11	21	3.044522	0	0	0	8	17	2.833213	3	4	1.386294
cs	8	33	3.496508	0	0	0	6	27	3.295837	2	6	1.791759
m'	9	270	5.598422	0	0	0	0	0	0	9	270	5.598422
'd	5	9	2.197225	0	0	0	5	9	2.197225	0	0	0
fc	1	22	3.091042	0	0	0	1	22	3.091042	0	0	0
nr	23	409	6.013715	0	0	0	23	409	6.013715	0	0	0
uu	2	15	2.70805	0	0	0	2	15	2.70805	0	0	0
s'	8	277	5.624018	1	1	0	0	0	0	7	276	5.620401
't	15	30	3.401197	0	0	0	15	30	3.401197	0	0	0
mw	1	1	0	0	0	0	1	1	0	0	0	0
we	9	76	4.330733	8	75	4.317488	1	1	0	0	0	0
cy	8	145	4.976734	3	13	2.564949	0	0	0	5	132	4.882802
yr	3	13	2.564949	0	0	0	3	13	2.564949	0	0	0
d'	67	828	6.719013	65	826	6.716595	2	2	0.693147	0	0	0
fn	1	2	0.693147	0	0	0	1	2	0.693147	0	0	0
rw	2	5	1.609438	0	0	0	2	5	1.609438	0	0	0
wi	4	14	2.639057	1	7	1.94591	3	7	1.94591	0	0	0
'f	5	5	1.609438	0	0	0	5	5	1.609438	0	0	0
eq	239	1862	7.529406	91	656	6.486161	148	1206	7.095064	0	0	0
sd	79	235	5.459586	56	170	5.135798	23	65	4.174387	0	0	0
'p	5	12	2.484907	0	0	0	5	12	2.484907	0	0	0
sv	449	3204	8.072155	405	2984	8.00102	44	220	5.393628	0	0	0
dj	5	10	2.302585	3	3	1.098612	2	7	1.94591	0	0	0
v'	3	119	4.779123	1	3	1.098612	0	0	0	2	116	4.75359
ku	8	51	3.931826	3	44	3.78419	4	4	1.386294	1	3	1.098612
cz	2	2	0.693147	0	0	0	2	2	0.693147	0	0	0
dg	4	5	1.609438	0	0	0	4	5	1.609438	0	0	0
dw	1	2	0.693147	0	0	0	1	2	0.693147	0	0	0
xp	4	24	3.178054	0	0	0	4	24	3.178054	0	0	0
xt	22	170	5.135798	0	0	0	22	170	5.135798	0	0	0
'l	6	10	2.302585	0	0	0	6	10	2.302585	0	0	0
aa	4	10	2.302585	0	0	0	4	10	2.302585	0	0	0
sr	47	379	5.937536	31	51	3.931826	16	328	5.793014	0	0	0
nm	8	36	3.583519	0	0	0	8	36	3.583519	0	0	0
zg	1	11	2.397895	0	0	0	1	11	2.397895	0	0	0
ux	9	14	2.639057	2	4	1.386294	7	10	2.302585	0	0	0
kh	6	34	3.526361	5	32	3.465736	1	2	0.693147	0	0	0
hu	5	78	4.356709	2	74	4.304065	3	4	1.386294	0	0	0
gs	5	24	3.178054	0	0	0	5	24	3.178054	0	0	0
yb	1	1	0	0	0	0	1	1	0	0	0	0
mc	3	8	2.079442	2	7	1.94591	1	1	0	0	0	0
mk	2	2	0.693147	0	0	0	2	2	0.693147	0	0	0
sy	5	24	3.178054	0	0	0	2	3	1.098612	3	21	3.044522
ky	3	72	4.276666	0	0	0	2	71	4.26268	1	1	0
py	2	10	2.302585	0	0	0	0	0	0	2	10	2.302585
ih	2	21	3.044522	1	20	2.995732	1	1	0	0	0	0
ji	2	16	2.772589	1	15	2.70805	0	0	0	1	1	0
fk	3	4	1.386294	0	0	0	3	4	1.386294	0	0	0
hn	2	9	2.197225	0	0	0	2	9	2.197225	0	0	0
aw	2	2	0.693147	0	0	0	2	2	0.693147	0	0	0
yo	17	179	5.187386	5	54	3.988984	9	53	3.970292	3	72	4.276666
hl	4	87	4.465908	0	0	0	3	28	3.332205	1	59	4.077537
uw	2	40	3.688879	0	0	0	2	40	3.688879	0	0	0
bv	2	2	0.693147	0	0	0	2	2	0.693147	0	0	0
tf	5	10	2.302585	0	0	0	5	10	2.302585	0	0	0
xe	10	28	3.332205	6	10	2.302585	3	15	2.70805	1	3	1.098612
xo	7	25	3.218876	0	0	0	6	24	3.178054	1	1	0
yd	2	18	2.890372	0	0	0	2	18	2.890372	0	0	0
cd	3	10	2.302585	0	0	0	3	10	2.302585	0	0	0
yg	1	1	0	0	0	0	1	1	0	0	0	0
yn	1	40	3.688879	0	0	0	0	0	0	1	40	3.688879
'x	1	2	0.693147	0	0	0	1	2	0.693147	0	0	0
ye	1	7	1.94591	0	0	0	1	7	1.94591	0	0	0
zd	1	2	0.693147	0	0	0	1	2	0.693147	0	0	0
ew	10	74	4.304065	0	0	0	10	74	4.304065	0	0	0
wt	4	41	3.713572	0	0	0	4	41	3.713572	0	0	0
wy	6	33	3.496508	0	0	0	6	33	3.496508	0	0	0
dc	6	15	2.70805	0	0	0	6	15	2.70805	0	0	0
df	1	1	0	0	0	0	1	1	0	0	0	0
bc	8	17	2.833213	0	0	0	8	17	2.833213	0	0	0
pz	5	34	3.526361	0	0	0	5	34	3.526361	0	0	0
xf	3	32	3.465736	0	0	0	3	32	3.465736	0	0	0
tc	10	37	3.610918	0	0	0	10	37	3.610918	0	0	0
vl	5	14	2.639057	1	3	1.098612	4	11	2.397895	0	0	0
jk	2	5	1.609438	0	0	0	2	5	1.609438	0	0	0
r'	2	2	0.693147	0	0	0	2	2	0.693147	0	0	0
jn	1	2	0.693147	0	0	0	1	2	0.693147	0	0	0
tb	5	13	2.564949	0	0	0	5	13	2.564949	0	0	0
bj	1	1	0	0	0	0	1	1	0	0	0	0
lj	2	6	1.791759	0	0	0	2	6	1.791759	0	0	0
td	2	4	1.386294	0	0	0	2	4	1.386294	0	0	0
tp	1	1	0	0	0	0	1	1	0	0	0	0
tw	1	1	0	0	0	0	1	1	0	0	0	0
gy	1	1	0	0	0	0	0	0	0	1	1	0
zy	1	1	0	0	0	0	0	0	0	1	1	0
'g	3	4	1.386294	0	0	0	3	4	1.386294	0	0	0
qq	3	12	2.484907	0	0	0	3	12	2.484907	0	0	0
qa	1	1	0	0	0	0	1	1	0	0	0	0
z'	1	74	4.304065	0	0	0	1	74	4.304065	0	0	0
gf	1	1	0	0	0	0	1	1	0	0	0	0
bt	4	4	1.386294	0	0	0	4	4	1.386294	0	0	0
dt	3	5	1.609438	0	0	0	3	5	1.609438	0	0	0
iw	1	12	2.484907	0	0	0	1	12	2.484907	0	0	0
tj	1	4	1.386294	0	0	0	1	4	1.386294	0	0	0
zm	1	1	0	0	0	0	1	1	0	0	0	0
pv	1	1	0	0	0	0	1	1	0	0	0	0
mv	3	9	2.197225	0	0	0	3	9	2.197225	0	0	0
uh	1	16	2.772589	1	16	2.772589	0	0	0	0	0	0
zb	3	5	1.609438	0	0	0	3	5	1.609438	0	0	0
dk	1	5	1.609438	0	0	0	1	5	1.609438	0	0	0
yu	2	2	0.693147	2	2	0.693147	0	0	0	0	0	0
gz	3	7	1.94591	0	0	0	3	7	1.94591	0	0	0
