			Position	Word Onset			Word Medial			Word Final		
bigram	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
ca	11457	113805	11.642242	3483	46052	10.737526	6058	42424	10.65547	1916	25329	10.139705
o'	1413	17851	9.789815	3	31	3.433987	7	12	2.484907	1403	17808	9.787403
rb	714	4065	8.310169	0	0	0	714	4065	8.310169	0	0	0
bi	3594	40631	10.612287	585	6547	8.786762	2895	32565	10.390993	114	1519	7.325808
am	5879	66984	11.112209	832	11832	9.378563	4998	54799	10.911427	49	353	5.866468
me	6130	107697	11.587077	1164	28080	10.242813	4668	56922	10.949437	298	22695	10.0299
en	13341	189972	12.154632	257	4561	8.425297	13025	183829	12.121761	59	1582	7.366445
mm	1699	16023	9.68178	0	0	0	1699	16023	9.68178	0	0	0
vo	2755	44801	10.709986	472	15502	9.648724	1350	16802	9.729253	933	12497	9.433244
nn	2268	42895	10.666511	0	0	0	2267	42841	10.665251	1	54	3.988984
so	4927	114996	11.652653	2126	57963	10.96756	1544	16774	9.727585	1257	40259	10.603089
st	10198	161000	11.98916	1921	49172	10.80308	8231	110908	11.616456	46	920	6.824374
nz	1747	33244	10.41163	0	0	0	1746	33241	10.411539	1	3	1.098612
za	3478	37169	10.52323	149	506	6.226537	2374	10879	9.29459	955	25784	10.157509
oz	354	2444	7.801391	9	67	4.204693	343	2370	7.770645	2	7	1.94591
zz	3437	26313	10.177818	0	0	0	3437	26313	10.177818	0	0	0
zi	4377	66801	11.109473	63	459	6.12905	3948	61237	11.022507	366	5105	8.537976
tt	8451	127685	11.757322	0	0	0	8449	127683	11.757306	2	2	0.693147
e'	309	75534	11.232338	12	60542	11.011093	63	131	4.875197	234	14861	9.606496
om	3829	64542	11.075071	132	1420	7.258412	3688	63069	11.051985	9	53	3.970292
rg	1285	9579	9.167328	0	0	0	1283	9561	9.165448	2	18	2.890372
ie	3903	61686	11.029812	21	2337	7.756623	3032	47268	10.763589	850	12081	9.399389
el	5096	145527	11.888117	424	5012	8.51959	4557	92517	11.435148	115	47998	10.778915
ev	2202	35857	10.487294	192	2589	7.859027	2009	33267	10.412321	1	1	0
ut	2936	55018	10.915416	87	1332	7.194437	2840	53656	10.890349	9	30	3.401197
az	2604	37864	10.541756	134	2149	7.672758	2466	35701	10.482934	4	14	2.639057
ec	2387	34481	10.448164	204	3871	8.261268	2180	30600	10.328755	3	10	2.302585
ce	4732	67996	11.127204	838	14848	9.60562	3083	35087	10.465586	811	18061	9.80151
ed	2373	32499	10.388965	148	4912	8.499436	2216	27510	10.222305	9	77	4.343805
da	3530	83160	11.328522	423	50320	10.826158	2441	21931	9.995656	666	10909	9.297343
ri	17415	194018	12.175706	5200	51082	10.841187	9852	107188	11.58234	2363	35748	10.48425
ll	5285	133007	11.798157	0	0	0	5279	132981	11.797962	6	26	3.258097
ir	3386	34437	10.446887	294	1779	7.483807	3058	32450	10.387456	34	208	5.337538
is	8702	87164	11.375547	354	3722	8.222016	8157	82330	11.318491	191	1112	7.013915
sc	6650	63453	11.058055	2695	25029	10.12779	3953	38414	10.556177	2	10	2.302585
it	7615	103830	11.55051	72	5467	8.606485	7509	98038	11.49311	34	325	5.783825
iv	3529	40581	10.611055	15	175	5.164786	3511	40383	10.606164	3	23	3.135494
