		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
Lo	2	309	7473.000000	8.919052	0	0.000000	0.000000	0	0.000000	0.000000	145	1977.000000	7.589336	164	5496.000000	8.611776	319	7646.000000	8.941938	0	0.000000	0.000000	
baN	3	49	417.000000	6.033086	0	0.000000	0.000000	43	407.000000	6.008813	6	10.000000	2.302585	0	0.000000	0.000000	49	417.000000	6.033086	43	407.000000	6.008813	
Na	2	676	8090.000000	8.998384	0	0.000000	0.000000	0	0.000000	0.000000	540	4496.000000	8.410943	136	3594.000000	8.187021	858	8825.000000	9.085344	0	0.000000	0.000000	
le	2	4647	114085.000000	11.644699	14	26163.000000	10.172101	330	3478.000000	8.154213	1340	10669.000000	9.275098	2963	73775.000000	11.208775	5953	127796.000000	11.758191	529	33770.000000	10.427328	
ja	2	294	1824.000000	7.508787	0	0.000000	0.000000	29	76.000000	4.330733	141	377.000000	5.932245	124	1371.000000	7.223296	6783	76165.000000	11.240657	41	114.000000	4.736198	
va	2	5111	63267.000000	11.055119	12	1796.000000	7.493317	412	5187.000000	8.553911	2592	25055.000000	10.128829	2095	31229.000000	10.349102	6324	74873.000000	11.223549	714	9977.000000	9.208038	
i	1	3050	90082.000000	11.408476	1	20.000000	2.995732	1179	19122.000000	9.858595	740	5887.000000	8.680502	1130	65053.000000	11.082958	101952	1494869.000000	14.217549	8476	208545.000000	12.247910	
na	2	6292	95352.000000	11.465331	3	21.000000	3.044522	225	4703.000000	8.455956	4009	33189.000000	10.409974	2055	57439.000000	10.958479	7935	108363.000000	11.593242	479	8496.000000	9.047351	
doL	3	82	132.000000	4.882802	0	0.000000	0.000000	2	2.000000	0.693147	80	130.000000	4.867534	0	0.000000	0.000000	82	132.000000	4.882802	2	2.000000	0.693147	
lo	2	3443	60740.000000	11.014358	8	9810.000000	9.191158	143	6282.000000	8.745444	1127	10152.000000	9.225426	2165	34496.000000	10.448599	4122	66195.000000	11.100360	287	18069.000000	9.801953	
nar	3	369	1148.000000	7.045777	0	0.000000	0.000000	54	214.000000	5.365976	306	909.000000	6.812345	9	25.000000	3.218876	977	6030.000000	8.704502	60	236.000000	5.463832	
la	2	5750	171998.000000	12.055238	25	65764.000000	11.093828	496	6629.000000	8.799209	3023	21177.000000	9.960671	2206	78428.000000	11.269936	8272	192842.000000	12.169626	976	78455.000000	11.270280	
li	2	6458	65558.000000	11.090691	11	2118.000000	7.658228	554	9006.000000	9.105646	2715	24334.000000	10.099630	3178	30100.000000	10.312280	9025	87626.000000	11.380833	712	12614.000000	9.442563	
mi	2	4161	57096.000000	10.952489	6	7140.000000	8.873468	816	19538.000000	9.880117	2169	21263.000000	9.964724	1170	9155.000000	9.122055	5038	67650.000000	11.122103	1103	30325.000000	10.319728	
ro	2	3401	42974.000000	10.668351	0	0.000000	0.000000	383	4849.000000	8.486528	1522	8849.000000	9.088060	1496	29276.000000	10.284523	7761	104740.000000	11.559236	615	7175.000000	8.878358	
nas	3	191	1354.000000	7.210818	0	0.000000	0.000000	63	933.000000	6.838405	119	386.000000	5.955837	9	35.000000	3.555348	216	1564.000000	7.355002	75	1087.000000	6.991177	
se	2	3799	66342.000000	11.102578	35	12860.000000	9.461877	785	13187.000000	9.486987	1190	13875.000000	9.537844	1789	26420.000000	10.181877	5589	94878.000000	11.460347	1491	41372.000000	10.630360	
mo	2	3924	43774.000000	10.686795	3	23.000000	3.135494	581	8382.000000	9.033842	1036	8243.000000	9.017120	2304	27126.000000	10.208248	4939	60770.000000	11.014852	1235	22713.000000	10.030693	
ne	2	5800	97371.000000	11.486284	12	4660.000000	8.446771	266	8339.000000	9.028699	1493	14313.000000	9.568923	4029	70059.000000	11.157093	6637	127954.000000	11.759426	383	40204.000000	10.601722	
ra	2	6491	98240.000000	11.495169	2	2.000000	0.693147	440	7000.000000	8.853665	3866	35209.000000	10.469057	2183	56029.000000	10.933625	16041	207456.000000	12.242675	1353	16575.000000	9.715651	
rEb	3	504	1459.000000	7.285507	0	0.000000	0.000000	0	0.000000	0.000000	504	1459.000000	7.285507	0	0.000000	0.000000	525	2451.000000	7.804251	1	17.000000	2.833213	
be	2	1212	16539.000000	9.713477	0	0.000000	0.000000	248	1509.000000	7.319202	512	4961.000000	8.509363	452	10069.000000	9.217217	1790	20302.000000	9.918475	573	4071.000000	8.311644	
dO	2	197	1592.000000	7.372746	8	81.000000	4.394449	52	489.000000	6.192362	97	494.000000	6.202536	40	528.000000	6.269096	369	6079.000000	8.712595	120	4119.000000	8.323366	
ka	2	7418	79722.000000	11.286301	3	36.000000	3.583519	1731	25475.000000	10.145453	3716	28754.000000	10.266532	1968	25457.000000	10.144746	11617	114265.000000	11.646276	3544	46285.000000	10.742573	
nO	2	400	6159.000000	8.725670	13	1615.000000	7.387090	75	1755.000000	7.470224	253	2410.000000	7.787382	59	379.000000	5.937536	623	13096.000000	9.480062	183	9452.000000	9.153982	
bar	3	307	2252.000000	7.719574	4	280.000000	5.634790	188	1243.000000	7.125283	110	713.000000	6.569481	5	16.000000	2.772589	565	3741.000000	8.227108	292	2150.000000	7.673223	
bi	2	2459	24997.000000	10.126511	2	5.000000	1.609438	241	3194.000000	8.069029	2089	20125.000000	9.909718	127	1673.000000	7.422374	2902	27984.000000	10.239388	387	4307.000000	8.367997	
men	3	2772	40823.000000	10.617001	0	0.000000	0.000000	69	3203.000000	8.071843	2698	37573.000000	10.534041	5	47.000000	3.850148	2951	46740.000000	10.752356	134	5894.000000	8.681690	
sam	3	23	71.000000	4.262680	0	0.000000	0.000000	14	55.000000	4.007333	7	12.000000	2.484907	2	4.000000	1.386294	262	1973.000000	7.587311	25	113.000000	4.727388	
san	3	520	6423.000000	8.767641	7	1676.000000	7.424165	219	2441.000000	7.800163	283	2242.000000	7.715124	11	64.000000	4.158883	761	8289.000000	9.022685	262	4648.000000	8.444192	
