			Position	Word Onset			Word Medial			Word Final			Syllable Onset			Syllable Medial			Syllable Final			Cross Syllable
biPhone	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	
Se	659	9065.000000	9.112176	175	3707.000000	8.217978	247	1795.000000	7.492760	237	3563.000000	8.178358	659	9065.000000	9.112176	0	0.000000	0.000000	426	5646.000000	8.638703	0	0.000000	0.000000	
it	7601	103809.000000	11.550308	80	5555.000000	8.622454	7485	97911.000000	11.491814	36	343.000000	5.837730	12	66.000000	4.189655	0	0.000000	0.000000	700	11243.000000	9.327501	6901	92566.000000	11.435677	
iv	3530	40583.000000	10.611105	15	175.000000	5.164786	3512	40385.000000	10.606214	3	23.000000	3.135494	2	49.000000	3.891820	0	0.000000	0.000000	3	23.000000	3.135494	3525	40511.000000	10.609329	
ve	3906	73254.000000	11.201688	1084	19074.000000	9.856081	2392	43243.000000	10.674591	430	10937.000000	9.299907	3750	72603.000000	11.192762	128	463.000000	6.137727	1912	49889.000000	10.817556	0	0.000000	0.000000	
oj	174	1376.000000	7.226936	1	2.000000	0.693147	173	1374.000000	7.225481	0	0.000000	0.000000	1	2.000000	0.693147	0	0.000000	0.000000	15	390.000000	5.966147	159	986.000000	6.893656	
bj	708	12798.000000	9.457044	198	2240.000000	7.714231	510	10558.000000	9.264639	0	0.000000	0.000000	688	12755.000000	9.453679	20	43.000000	3.761200	0	0.000000	0.000000	0	0.000000	0.000000	
eG	1432	15601.000000	9.655090	39	162.000000	5.087596	1392	15437.000000	9.644523	1	2.000000	0.693147	0	0.000000	0.000000	0	0.000000	0.000000	4	27.000000	3.295837	1428	15574.000000	9.653358	
Gr	1959	23875.000000	10.080587	700	14632.000000	9.590966	1259	9243.000000	9.131622	0	0.000000	0.000000	1869	23643.000000	10.070822	90	232.000000	5.446737	0	0.000000	0.000000	0	0.000000	0.000000	
jE	1263	32724.000000	10.395864	11	2321.000000	7.749753	1248	30392.000000	10.321935	4	11.000000	2.397895	46	2710.000000	7.904704	282	7262.000000	8.890411	950	25180.000000	10.133805	3	7.000000	1.945910	
iL	574	9213.000000	9.128371	0	0.000000	0.000000	574	9213.000000	9.128371	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	574	9213.000000	9.128371	0	0.000000	0.000000	
LO	38	121.000000	4.795791	0	0.000000	0.000000	21	76.000000	4.330733	17	45.000000	3.806662	38	121.000000	4.795791	0	0.000000	0.000000	30	103.000000	4.634729	0	0.000000	0.000000	
is	8267	83840.000000	11.336665	354	3722.000000	8.222016	7722	79028.000000	11.277557	191	1090.000000	6.993933	418	3578.000000	8.182559	3	6.000000	1.791759	6287	60997.000000	11.018580	1977	22837.000000	10.036137	
oN	212	7044.000000	8.859931	11	3486.000000	8.156510	201	3558.000000	8.176954	0	0.000000	0.000000	11	3486.000000	8.156510	0	0.000000	0.000000	212	7044.000000	8.859931	0	0.000000	0.000000	
bo	1385	9681.000000	9.177920	573	4450.000000	8.400659	696	3838.000000	8.252707	116	1393.000000	7.239215	1346	9548.000000	9.164087	38	132.000000	4.882802	665	4978.000000	8.512783	0	0.000000	0.000000	
ok	1618	15585.000000	9.654064	148	2696.000000	7.899524	1467	12849.000000	9.461021	3	40.000000	3.688879	172	3212.000000	8.074649	0	0.000000	0.000000	637	6405.000000	8.764834	981	9180.000000	9.124782	
kO	986	20228.000000	9.914823	340	12060.000000	9.397649	575	7815.000000	8.963800	71	353.000000	5.866468	902	19257.000000	9.865630	59	548.000000	6.306275	378	8864.000000	9.089753	0	0.000000	0.000000	
bO	227	2068.000000	7.634337	121	1540.000000	7.339538	100	517.000000	6.248043	6	11.000000	2.397895	221	2028.000000	7.614805	6	40.000000	3.688879	109	553.000000	6.315358	0	0.000000	0.000000	
Of	149	1243.000000	7.125283	6	297.000000	5.693732	140	877.000000	6.776507	3	69.000000	4.234107	6	297.000000	5.693732	2	57.000000	4.043051	39	618.000000	6.426488	108	568.000000	6.342121	
ff	1721	17382.000000	9.763190	0	0.000000	0.000000	1719	17339.000000	9.760714	2	43.000000	3.761200	0	0.000000	0.000000	0	0.000000	0.000000	2	43.000000	3.761200	1719	17339.000000	9.760714	
fa	2196	40500.000000	10.609057	1091	33631.000000	10.423204	1014	6088.000000	8.714075	91	781.000000	6.660575	2114	40303.000000	10.604181	48	114.000000	4.736198	1055	15944.000000	9.676838	0	0.000000	0.000000	
ze	523	5974.000000	8.695172	12	79.000000	4.369448	173	853.000000	6.748760	338	5042.000000	8.525558	523	5974.000000	8.695172	0	0.000000	0.000000	430	5531.000000	8.618124	0	0.000000	0.000000	
di	6761	213347.000000	12.270675	2797	171169.000000	12.050407	3238	29911.000000	10.305982	726	12267.000000	9.414668	6759	213345.000000	12.270666	0	0.000000	0.000000	4895	63884.000000	11.064824	0	0.000000	0.000000	
or	8732	121399.000000	11.706838	499	12259.000000	9.414016	8148	107453.000000	11.584809	85	1687.000000	7.430707	382	6271.000000	8.743691	5	31.000000	3.433987	4429	57031.000000	10.951350	4292	64285.000000	11.071082	
rd	1577	19993.000000	9.903137	0	0.000000	0.000000	1549	19113.000000	9.858124	28	880.000000	6.779922	0	0.000000	0.000000	0	0.000000	0.000000	47	939.000000	6.844815	1530	19054.000000	9.855032	
il	4582	113971.000000	11.643699	192	67996.000000	11.127204	4357	45892.000000	10.734046	33	83.000000	4.418841	179	67947.000000	11.126483	8	1288.000000	7.160846	1004	7281.000000	8.893023	3561	38458.000000	10.557322	
ag	1333	20290.000000	9.917883	248	2951.000000	7.989899	1085	17339.000000	9.760714	0	0.000000	0.000000	182	2060.000000	7.630461	0	0.000000	0.000000	770	11587.000000	9.357639	563	8703.000000	9.071423	
gg	2205	24584.000000	10.109851	0	0.000000	0.000000	2205	24584.000000	10.109851	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2205	24584.000000	10.109851	
go	961	24598.000000	10.110420	245	11000.000000	9.305651	415	6452.000000	8.772145	301	7146.000000	8.874308	961	24598.000000	10.110420	0	0.000000	0.000000	840	17408.000000	9.764685	0	0.000000	0.000000	
rr	2611	26164.000000	10.172140	0	0.000000	0.000000	2611	26164.000000	10.172140	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2611	26164.000000	10.172140	
cc	1968	16130.000000	9.688436	0	0.000000	0.000000	1968	16130.000000	9.688436	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1968	16130.000000	9.688436	
ca	1784	18651.000000	9.833655	82	730.000000	6.593045	1438	12692.000000	9.448727	264	5229.000000	8.561975	1784	18651.000000	9.833655	0	0.000000	0.000000	1409	16003.000000	9.680531	0	0.000000	0.000000	
ot	2288	28164.000000	10.245800	153	2010.000000	7.605890	2132	26149.000000	10.171566	3	5.000000	1.609438	151	2002.000000	7.601902	0	0.000000	0.000000	1025	10998.000000	9.305469	1263	17166.000000	9.750686	
oz	220	1342.000000	7.201916	7	20.000000	2.995732	213	1322.000000	7.186901	0	0.000000	0.000000	7	20.000000	2.995732	0	0.000000	0.000000	220	1342.000000	7.201916	0	0.000000	0.000000	
zo	426	6083.000000	8.713253	10	27.000000	3.295837	197	893.000000	6.794587	219	5163.000000	8.549273	426	6083.000000	8.713253	0	0.000000	0.000000	404	6001.000000	8.699681	0	0.000000	0.000000	
zO	80	432.000000	6.068426	17	55.000000	4.007333	32	295.000000	5.686975	31	82.000000	4.406719	80	432.000000	6.068426	0	0.000000	0.000000	51	328.000000	5.793014	0	0.000000	0.000000	
br	1486	15574.000000	9.653358	574	5011.000000	8.519391	912	10563.000000	9.265113	0	0.000000	0.000000	1418	15451.000000	9.645429	68	123.000000	4.812184	0	0.000000	0.000000	0	0.000000	0.000000	
Ei	290	7477.000000	8.919587	0	0.000000	0.000000	19	120.000000	4.787492	271	7357.000000	8.903408	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	290	7477.000000	8.919587	
rn	1491	22133.000000	10.004825	0	0.000000	0.000000	1491	22133.000000	10.004825	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1491	22133.000000	10.004825	
co	560	5153.000000	8.547334	21	112.000000	4.718499	263	981.000000	6.888572	276	4060.000000	8.308938	560	5153.000000	8.547334	0	0.000000	0.000000	535	5019.000000	8.520986	0	0.000000	0.000000	
cO	91	2870.000000	7.962067	21	2107.000000	7.653020	45	308.000000	5.730100	25	455.000000	6.120297	91	2870.000000	7.962067	0	0.000000	0.000000	65	1504.000000	7.315884	0	0.000000	0.000000	
Ev	147	1802.000000	7.496652	17	167.000000	5.117994	129	1634.000000	7.398786	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2	2.000000	0.693147	145	1800.000000	7.495542	
vj	475	7278.000000	8.892611	153	4654.000000	8.445482	322	2624.000000	7.872455	0	0.000000	0.000000	472	7274.000000	8.892062	3	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	
zj	3595	56859.000000	10.948330	0	0.000000	0.000000	3595	56859.000000	10.948330	0	0.000000	0.000000	3595	56859.000000	10.948330	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	
ri	15119	161158.000000	11.990141	5097	48414.000000	10.787544	7610	76539.000000	11.245556	2412	36205.000000	10.496953	11362	116254.000000	11.663533	989	8373.000000	9.032768	12038	134966.000000	11.812778	6	8.000000	2.079442	
vi	3934	53650.000000	10.890237	1026	26899.000000	10.199844	2068	21382.000000	9.970305	840	5369.000000	8.588397	3842	52654.000000	10.871497	35	296.000000	5.690359	3038	37377.000000	10.528811	0	0.000000	0.000000	
id	2610	25971.000000	10.164736	203	2618.000000	7.870166	2390	23008.000000	10.043597	17	345.000000	5.843544	9	56.000000	4.025352	0	0.000000	0.000000	31	583.000000	6.368187	2578	25385.000000	10.141914	
nZ	156	1236.000000	7.119636	0	0.000000	0.000000	156	1236.000000	7.119636	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	156	1236.000000	7.119636	
Za	1589	7958.000000	8.981933	126	435.000000	6.075346	1349	6718.000000	8.812546	114	805.000000	6.690842	1589	7958.000000	8.981933	0	0.000000	0.000000	1075	5669.000000	8.642768	0	0.000000	0.000000	
ur	2954	33444.000000	10.417628	134	1129.000000	7.029088	2786	31466.000000	10.356663	34	849.000000	6.744059	105	1045.000000	6.951772	1	36.000000	3.583519	841	6492.000000	8.778326	2110	26848.000000	10.197947	
ru	1515	12045.000000	9.396405	251	2145.000000	7.670895	1251	9803.000000	9.190444	13	97.000000	4.574711	549	3585.000000	8.184514	483	5225.000000	8.561210	762	4819.000000	8.480322	0	0.000000	0.000000	
us	1747	19131.000000	9.859065	120	2298.000000	7.739794	1483	16091.000000	9.686015	144	742.000000	6.609349	26	147.000000	4.990433	0	0.000000	0.000000	952	8431.000000	9.039671	795	10700.000000	9.277999	
tj	518	5375.000000	8.589514	19	329.000000	5.796058	499	5046.000000	8.526351	0	0.000000	0.000000	515	5174.000000	8.551401	3	201.000000	5.303305	0	0.000000	0.000000	0	0.000000	0.000000	
uz	350	4597.000000	8.433159	3	5.000000	1.609438	345	4579.000000	8.429236	2	13.000000	2.564949	6	16.000000	2.772589	0	0.000000	0.000000	350	4597.000000	8.433159	0	0.000000	0.000000	
bu	831	5917.000000	8.685585	344	2455.000000	7.805882	477	3361.000000	8.119994	10	101.000000	4.615121	792	5815.000000	8.668196	22	66.000000	4.189655	422	3164.000000	8.059592	2	2.000000	0.693147	
uf	275	2609.000000	7.866722	30	1406.000000	7.248504	245	1203.000000	7.092574	0	0.000000	0.000000	30	1406.000000	7.248504	0	0.000000	0.000000	211	2363.000000	7.767687	64	246.000000	5.505332	
uj	31	344.000000	5.840642	0	0.000000	0.000000	31	344.000000	5.840642	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	3	63.000000	4.143135	28	281.000000	5.638355	
bw	68	2042.000000	7.621685	63	2023.000000	7.612337	5	19.000000	2.944439	0	0.000000	0.000000	68	2042.000000	7.621685	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	
bd	13	30.000000	3.401197	0	0.000000	0.000000	13	30.000000	3.401197	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	13	30.000000	3.401197	
du	1141	20232.000000	9.915021	183	10859.000000	9.292750	947	9357.000000	9.143880	11	16.000000	2.772589	1141	20232.000000	9.915021	0	0.000000	0.000000	804	15273.000000	9.633842	0	0.000000	0.000000	
ul	1487	23359.000000	10.058738	121	3326.000000	8.109526	1354	15388.000000	9.641343	12	4645.000000	8.443547	105	3291.000000	8.098947	1	1.000000	0.000000	840	19928.000000	9.899881	646	3430.000000	8.140316	
Ed	420	7688.000000	8.947416	22	129.000000	4.859812	392	7512.000000	8.924257	6	47.000000	3.850148	1	5.000000	1.609438	0	0.000000	0.000000	22	305.000000	5.720312	398	7383.000000	8.906935	
El	1727	15682.000000	9.660269	37	223.000000	5.407172	1614	14669.000000	9.593492	76	790.000000	6.672033	38	275.000000	5.616771	0	0.000000	0.000000	1416	12583.000000	9.440102	311	3099.000000	8.038835	
et	4844	49846.000000	10.816694	78	1082.000000	6.986566	4751	48614.000000	10.791667	15	150.000000	5.010635	30	135.000000	4.905275	0	0.000000	0.000000	2881	31005.000000	10.341904	1959	18772.000000	9.840122	
je	1508	14885.000000	9.608109	13	37.000000	3.610918	1036	8631.000000	9.063116	459	6217.000000	8.735043	104	454.000000	6.118097	266	1968.000000	7.584773	1193	12633.000000	9.444068	2	2.000000	0.693147	
Et	1140	18827.000000	9.843047	38	350.000000	5.857933	1076	18342.000000	9.816949	26	135.000000	4.905275	23	192.000000	5.257495	0	0.000000	0.000000	596	12191.000000	9.408453	544	6636.000000	8.800265	
ez	770	8466.000000	9.043813	0	0.000000	0.000000	762	8407.000000	9.036820	8	59.000000	4.077537	2	8.000000	2.079442	0	0.000000	0.000000	770	8466.000000	9.043813	0	0.000000	0.000000	
lE	937	15913.000000	9.674892	129	5057.000000	8.528529	799	10786.000000	9.286004	9	70.000000	4.248495	796	12126.000000	9.403107	72	999.000000	6.906755	364	8588.000000	9.058121	0	0.000000	0.000000	
lm	561	8291.000000	9.022926	0	0.000000	0.000000	557	7020.000000	8.856518	4	1271.000000	7.147559	0	0.000000	0.000000	0	0.000000	0.000000	5	1273.000000	7.149132	556	7018.000000	8.856234	
ma	6564	110106.000000	11.609199	2682	56727.000000	10.946006	3322	30748.000000	10.333580	560	22631.000000	10.027076	6460	109749.000000	11.605951	82	311.000000	5.739793	3946	65890.000000	11.095742	0	0.000000	0.000000	
aE	97	1346.000000	7.204893	37	486.000000	6.186209	60	860.000000	6.756932	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	97	1346.000000	7.204893	
jO	370	1857.000000	7.526718	22	112.000000	4.718499	316	1593.000000	7.373374	32	152.000000	5.023881	69	256.000000	5.545177	85	761.000000	6.634633	280	1061.000000	6.966967	0	0.000000	0.000000	
Ol	1342	22347.000000	10.014447	24	372.000000	5.918894	1272	21146.000000	9.959206	46	829.000000	6.720220	4	22.000000	3.091042	4	70.000000	4.248495	634	12858.000000	9.461721	704	9419.000000	9.150484	
nj	844	9812.000000	9.191361	28	1268.000000	7.145196	816	8544.000000	9.052985	0	0.000000	0.000000	842	9809.000000	9.191056	2	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	
ko	12046	198742.000000	12.199763	5839	123501.000000	11.724005	4330	48286.000000	10.784897	1877	26955.000000	10.201924	11265	191972.000000	12.165105	568	4705.000000	8.456381	4992	86806.000000	11.371431	0	0.000000	0.000000	
tr	7228	106970.000000	11.580304	1884	29265.000000	10.284148	5344	77705.000000	11.260675	0	0.000000	0.000000	6494	99684.000000	11.509760	734	7286.000000	8.893710	0	0.000000	0.000000	0	0.000000	0.000000	
ic	2704	30467.000000	10.324399	0	0.000000	0.000000	2700	30405.000000	10.322362	4	62.000000	4.127134	0	0.000000	0.000000	0	0.000000	0.000000	248	931.000000	6.836259	2456	29536.000000	10.293365	
wa	1440	39446.000000	10.582688	0	0.000000	0.000000	1363	37000.000000	10.518673	77	2446.000000	7.802209	3	16.000000	2.772589	639	23111.000000	10.048064	799	16320.000000	9.700147	0	0.000000	0.000000	
ua	351	10172.000000	9.227394	0	0.000000	0.000000	327	3939.000000	8.278682	24	6233.000000	8.737613	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	351	10172.000000	9.227394	
rv	843	7669.000000	8.944942	0	0.000000	0.000000	843	7669.000000	8.944942	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	843	7669.000000	8.944942	
ud	754	8293.000000	9.023167	40	352.000000	5.863631	705	7465.000000	8.917981	9	476.000000	6.165418	0	0.000000	0.000000	0	0.000000	0.000000	74	860.000000	6.756932	680	7433.000000	8.913685	
ue	90	8725.000000	9.073948	0	0.000000	0.000000	51	405.000000	6.003887	39	8320.000000	9.026418	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	90	8725.000000	9.073948	
we	385	34016.000000	10.434586	0	0.000000	0.000000	304	28997.000000	10.274948	81	5019.000000	8.520986	0	0.000000	0.000000	184	27717.000000	10.229801	201	6299.000000	8.748146	0	0.000000	0.000000	
rO	1322	22141.000000	10.005186	96	1229.000000	7.113956	848	16856.000000	9.732462	378	4056.000000	8.307953	759	8486.000000	9.046173	193	4912.000000	8.499436	955	16170.000000	9.690913	2	2.000000	0.693147	
ui	540	14741.000000	9.598388	0	0.000000	0.000000	492	4360.000000	8.380227	48	10381.000000	9.247732	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	540	14741.000000	9.598388	
ju	580	25903.000000	10.162114	33	511.000000	6.236370	527	8302.000000	9.024252	20	17090.000000	9.746249	105	1741.000000	7.462215	93	2859.000000	7.958227	471	23005.000000	10.043467	0	0.000000	0.000000	
bl	373	8101.000000	8.999743	116	1158.000000	7.054450	257	6943.000000	8.845489	0	0.000000	0.000000	362	8053.000000	8.993800	11	48.000000	3.871201	0	0.000000	0.000000	0	0.000000	0.000000	
lu	1689	22113.000000	10.003921	387	10331.000000	9.242904	1274	11467.000000	9.347229	28	315.000000	5.752573	1346	19222.000000	9.863811	40	220.000000	5.393628	1187	15017.000000	9.616938	0	0.000000	0.000000	
bn	9	22.000000	3.091042	0	0.000000	0.000000	9	22.000000	3.091042	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	9	22.000000	3.091042	
Ga	3102	26973.000000	10.202592	618	4521.000000	8.416488	2113	17217.000000	9.753653	371	5235.000000	8.563122	3054	26823.000000	10.197015	42	131.000000	4.875197	2069	19314.000000	9.868586	0	0.000000	0.000000	
Or	1687	31416.000000	10.355073	60	856.000000	6.752270	1599	30379.000000	10.321507	28	181.000000	5.198497	49	429.000000	6.061457	46	1160.000000	7.056175	842	18883.000000	9.846017	799	11373.000000	9.338997	
sk	4711	39354.000000	10.580353	2321	20216.000000	9.914230	2387	19132.000000	9.859118	3	6.000000	1.791759	2466	21029.000000	9.953658	0	0.000000	0.000000	3	6.000000	1.791759	2242	18319.000000	9.815694	
iz	1010	15436.000000	9.644458	1	2.000000	0.693147	1001	15325.000000	9.637241	8	109.000000	4.691348	10	63.000000	4.143135	0	0.000000	0.000000	1005	15426.000000	9.643810	5	10.000000	2.302585	
ig	721	7089.000000	8.866300	14	97.000000	4.574711	707	6992.000000	8.852522	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	61	682.000000	6.525030	660	6407.000000	8.765146	
ge	1967	16584.000000	9.716194	465	5890.000000	8.681011	1334	7669.000000	8.944942	168	3025.000000	8.014666	1967	16584.000000	9.716194	0	0.000000	0.000000	1324	11999.000000	9.392579	0	0.000000	0.000000	
ii	81	357.000000	5.877736	0	0.000000	0.000000	12	76.000000	4.330733	69	281.000000	5.638355	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	81	357.000000	5.877736	
Si	564	6970.000000	8.849371	113	653.000000	6.481577	387	5716.000000	8.651025	64	601.000000	6.398595	564	6970.000000	8.849371	0	0.000000	0.000000	439	6208.000000	8.733594	0	0.000000	0.000000	
ms	9	60.000000	4.094345	0	0.000000	0.000000	7	35.000000	3.555348	2	25.000000	3.218876	0	0.000000	0.000000	0	0.000000	0.000000	3	51.000000	3.931826	6	9.000000	2.197225	
nE	825	5297.000000	8.574896	153	467.000000	6.146329	671	4828.000000	8.482188	1	2.000000	0.693147	817	5242.000000	8.564458	6	41.000000	3.713572	230	1018.000000	6.925595	0	0.000000	0.000000	
Es	1098	33167.000000	10.409311	111	9752.000000	9.185228	951	23223.000000	10.052898	36	192.000000	5.257495	116	10242.000000	9.234252	15	468.000000	6.148468	905	30339.000000	10.320189	169	2099.000000	7.649216	
oG	693	5098.000000	8.536604	0	0.000000	0.000000	693	5098.000000	8.536604	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	14	26.000000	3.258097	679	5072.000000	8.531490	
up	850	8430.000000	9.039552	2	6.000000	1.791759	847	8420.000000	9.038365	1	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	193	2804.000000	7.938802	657	5626.000000	8.635154	
pt	64	164.000000	5.099866	0	0.000000	0.000000	64	164.000000	5.099866	0	0.000000	0.000000	16	50.000000	3.912023	0	0.000000	0.000000	0	0.000000	0.000000	48	114.000000	4.736198	
bs	14	24.000000	3.178054	0	0.000000	0.000000	13	23.000000	3.135494	1	1.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	13	23.000000	3.135494	
um	932	9054.000000	9.110962	108	1499.000000	7.312553	718	6895.000000	8.838552	106	660.000000	6.492240	24	250.000000	5.521461	0	0.000000	0.000000	156	1005.000000	6.912743	775	8033.000000	8.991313	
sm	1061	5555.000000	8.622454	290	1237.000000	7.120444	771	4318.000000	8.370548	0	0.000000	0.000000	343	1880.000000	7.539027	0	0.000000	0.000000	0	0.000000	0.000000	718	3675.000000	8.209308	
kr	1913	18571.000000	9.829357	718	9625.000000	9.172119	1195	8946.000000	9.098962	0	0.000000	0.000000	1672	15569.000000	9.653037	241	3002.000000	8.007034	0	0.000000	0.000000	0	0.000000	0.000000	
mj	245	2292.000000	7.737180	29	794.000000	6.677083	216	1498.000000	7.311886	0	0.000000	0.000000	245	2292.000000	7.737180	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	
ap	2673	30980.000000	10.341097	864	10873.000000	9.294038	1804	20099.000000	9.908425	5	8.000000	2.079442	729	8001.000000	8.987322	0	0.000000	0.000000	1307	13616.000000	9.519001	1366	17364.000000	9.762154	
pu	1040	16345.000000	9.701677	490	10204.000000	9.230535	549	6140.000000	8.722580	1	1.000000	0.000000	950	15960.000000	9.677841	57	305.000000	5.720312	440	5566.000000	8.624432	0	0.000000	0.000000	
lk	341	8963.000000	9.100860	0	0.000000	0.000000	341	8963.000000	9.100860	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	341	8963.000000	9.100860	
dd	448	4043.000000	8.304742	0	0.000000	0.000000	448	4043.000000	8.304742	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	448	4043.000000	8.304742	
dE	928	14108.000000	9.554497	119	1586.000000	7.368970	804	12513.000000	9.434523	5	9.000000	2.197225	927	14104.000000	9.554214	0	0.000000	0.000000	205	2530.000000	7.835975	0	0.000000	0.000000	
Em	357	19466.000000	9.876425	19	89.000000	4.488636	327	19332.000000	9.869517	11	45.000000	3.806662	12	103.000000	4.634729	0	0.000000	0.000000	100	11092.000000	9.313979	257	8374.000000	9.032887	
ke	1709	101682.000000	11.529606	66	67315.000000	11.117138	717	4025.000000	8.300280	926	30342.000000	10.320288	1618	101023.000000	11.523103	65	607.000000	6.408529	1319	32054.000000	10.375177	0	0.000000	0.000000	
dr	770	9410.000000	9.149528	123	1120.000000	7.021084	647	8290.000000	9.022805	0	0.000000	0.000000	742	9315.000000	9.139381	28	95.000000	4.553877	0	0.000000	0.000000	0	0.000000	0.000000	
pp	2055	24846.000000	10.120452	0	0.000000	0.000000	2055	24846.000000	10.120452	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2055	24846.000000	10.120452	
pj	1435	39344.000000	10.580099	574	28012.000000	10.240388	861	11332.000000	9.335386	0	0.000000	0.000000	1298	36697.000000	10.510450	137	2647.000000	7.881182	0	0.000000	0.000000	0	0.000000	0.000000	
ld	428	2821.000000	7.944847	0	0.000000	0.000000	424	2800.000000	7.937375	4	21.000000	3.044522	0	0.000000	0.000000	0	0.000000	0.000000	4	21.000000	3.044522	424	2800.000000	7.937375	
mp	2912	41888.000000	10.642755	0	0.000000	0.000000	2910	41884.000000	10.642659	2	4.000000	1.386294	0	0.000000	0.000000	0	0.000000	0.000000	6	14.000000	2.639057	2906	41874.000000	10.642420	
pa	5184	70954.000000	11.169787	2208	45013.000000	10.714707	2817	22091.000000	10.002926	159	3850.000000	8.255828	4681	66702.000000	11.107990	294	2709.000000	7.904335	2808	34275.000000	10.442172	0	0.000000	0.000000	
pi	2620	23787.000000	10.076894	589	6055.000000	8.708640	1839	13991.000000	9.546170	192	3741.000000	8.227108	2365	21899.000000	9.994196	105	868.000000	6.766192	1788	16723.000000	9.724540	0	0.000000	0.000000	
oi	220	4016.000000	8.298042	0	0.000000	0.000000	194	1133.000000	7.032624	26	2883.000000	7.966587	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	220	4016.000000	8.298042	
po	3625	65340.000000	11.087360	1078	23106.000000	10.047848	2335	24461.000000	10.104835	212	17773.000000	9.785436	3367	63254.000000	11.054914	178	1328.000000	7.191429	1994	44464.000000	10.702435	0	0.000000	0.000000	
Oc	112	769.000000	6.645091	0	0.000000	0.000000	112	769.000000	6.645091	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	60	404.000000	6.001415	52	365.000000	5.899897	
oc	851	9497.000000	9.158731	22	408.000000	6.011267	829	9089.000000	9.114820	0	0.000000	0.000000	12	294.000000	5.683580	0	0.000000	0.000000	139	816.000000	6.704414	712	8681.000000	9.068892	
aS	459	5618.000000	8.633731	64	341.000000	5.831882	393	5273.000000	8.570355	2	4.000000	1.386294	64	341.000000	5.831882	0	0.000000	0.000000	458	5617.000000	8.633553	1	1.000000	0.000000	
Sa	414	4289.000000	8.363809	90	281.000000	5.638355	268	3082.000000	8.033334	56	926.000000	6.830874	414	4289.000000	8.363809	0	0.000000	0.000000	292	3536.000000	8.170751	0	0.000000	0.000000	
lO	722	5493.000000	8.611230	83	926.000000	6.830874	574	4311.000000	8.368925	65	256.000000	5.545177	604	4567.000000	8.426612	34	344.000000	5.840642	521	3725.000000	8.222822	0	0.000000	0.000000	
cE	993	21179.000000	9.960765	187	10158.000000	9.226017	802	11006.000000	9.306196	4	15.000000	2.708050	993	21179.000000	9.960765	0	0.000000	0.000000	274	3734.000000	8.225235	0	0.000000	0.000000	
Ek	330	7162.000000	8.876545	58	2749.000000	7.918992	263	4356.000000	8.379309	9	57.000000	4.043051	49	2603.000000	7.864420	3	5.000000	1.609438	141	3864.000000	8.259458	154	1756.000000	7.470794	
