			Position	Word Onset			Word Medial			Word Final			Syllable Onset			Syllable Medial			Syllable Final			Cross Syllable
biPhone	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	
to	13312	262108.000000	12.476512	562	6533.000000	8.784622	3976	31836.000000	10.368353	8774	223739.000000	12.318235	13223	261727.000000	12.475057	54	177.000000	5.176150	12463	253182.000000	12.441864	1	2.000000	0.693147	
jo	5919	97438.000000	11.486972	9	23.000000	3.135494	4413	65429.000000	11.088721	1497	31986.000000	10.373054	189	2605.000000	7.865188	160	860.000000	6.756932	5750	96539.000000	11.477702	0	0.000000	0.000000	
ac	1861	16694.000000	9.722805	329	2664.000000	7.887584	1532	14030.000000	9.548953	0	0.000000	0.000000	301	2494.000000	7.821643	0	0.000000	0.000000	1030	8022.000000	8.989943	831	8672.000000	9.067855	
ci	4835	56615.000000	10.944029	767	19187.000000	9.861988	2204	23740.000000	10.074917	1864	13688.000000	9.524275	4835	56615.000000	10.944029	0	0.000000	0.000000	4122	39535.000000	10.584942	0	0.000000	0.000000	
na	7935	108363.000000	11.593242	479	8496.000000	9.047351	5401	42428.000000	10.655564	2055	57439.000000	10.958479	7917	108338.000000	11.593011	1	1.000000	0.000000	6303	95352.000000	11.465331	3	3.000000	1.098612	
de	4974	149666.000000	11.916161	1847	114979.000000	11.652505	2593	21567.000000	9.978920	534	13120.000000	9.481893	4957	149607.000000	11.915767	14	54.000000	3.988984	3565	59740.000000	10.997757	2	3.000000	1.098612	
es	6472	101518.000000	11.527991	1190	16774.000000	9.727585	5257	84644.000000	11.346210	25	100.000000	4.605170	734	9063.000000	9.111955	10	102.000000	4.624973	4036	62292.000000	11.039588	2426	39124.000000	10.574491	
sa	5368	78667.000000	11.272979	1366	25659.000000	10.152650	2834	25680.000000	10.153468	1168	27328.000000	10.215667	5351	78618.000000	11.272356	4	5.000000	1.609438	3674	62468.000000	11.042410	10	41.000000	3.713572	
do	5458	68653.000000	11.136820	636	20902.000000	9.947600	2486	11201.000000	9.323758	2336	36550.000000	10.506436	5447	68638.000000	11.136602	9	12.000000	2.484907	4849	62948.000000	11.050064	1	2.000000	0.693147	
aL	595	6455.000000	8.772610	10	1850.000000	7.522941	585	4605.000000	8.434898	0	0.000000	0.000000	12	1856.000000	7.526179	0	0.000000	0.000000	595	6455.000000	8.772610	0	0.000000	0.000000	
LL	1901	31419.000000	10.355168	0	0.000000	0.000000	1901	31419.000000	10.355168	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1901	31419.000000	10.355168	
Li	507	24967.000000	10.125310	6	12501.000000	9.433564	40	118.000000	4.770685	461	12348.000000	9.421249	507	24967.000000	10.125310	0	0.000000	0.000000	498	12462.000000	9.430439	0	0.000000	0.000000	
La	890	7578.000000	8.933005	0	0.000000	0.000000	691	3416.000000	8.136226	199	4162.000000	8.333751	890	7578.000000	8.933005	0	0.000000	0.000000	711	7056.000000	8.861634	0	0.000000	0.000000	
ar	16004	167715.000000	12.030021	1205	13703.000000	9.525370	14602	151416.000000	11.927786	197	2596.000000	7.861727	1094	11635.000000	9.361773	24	320.000000	5.768321	8075	68519.000000	11.134866	7905	98876.000000	11.501622	
re	12721	217716.000000	12.290947	1410	19104.000000	9.857653	5601	64621.000000	11.076295	5710	133991.000000	11.805528	9040	150538.000000	11.921971	1015	15304.000000	9.635870	10554	188041.000000	12.144415	8	10.000000	2.302585	
